iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0000026	Acres	number	Socioeconomic factors	Household	Size of property (in acres)	0	30	1.81722054380665	1	3	0	16		["numaland"]	
EUPATH_0000027	Meals per day	integer	Food security	Household	Number of meals eaten by household on an average day	1	4	2.37462235649547	2	3	2	4		["hhmeals"]	
EUPATH_0000028	Meat meals per week	integer	Food security	Household	Number of meals per week that household eats meat	0	7	1.84592145015106	2	3	1	8		["hhnumt"]	
EUPATH_0000029	Food problems per week	string	Food security	Household	Number of times per week that household has difficulty in satisfying food needs							5	["Never","Seldom","Sometimes","Often","Always","Don't know","Refused to answer/skipped"]	["hhpsf"]	
EUPATH_0000054	Sub-county in Uganda	string	Geographic location	Household	Sub-county in Uganda (Walukuba: Jinja District, Kihihi: Kanungu District, Nagongera: Tororo District)							3	["Kihihi","Nagongera","Walukuba"]	["siteid"]	ENVO_00000008
EUPATH_0000143	Household wealth index, categorical	string	Socioeconomic status	Household	Top, middle or bottom third of Household Wealth Index scale.							3	["Poorest","Middle","Least poor"]	["tertile"]	
EUPATH_0000144	Assets		Socioeconomic factors	Household	Assets refer to whether the household reported ownership of each of the items listed.										
EUPATH_0000166	Animal-drawn cart	string	Assets	Household								2	["No","Yes"]	["CART"]	
EUPATH_0000167	Bank account	string	Assets	Household								2	["No","Yes"]	["BANKACCO"]	
EUPATH_0000170	Boat without a motor	string	Assets	Household								2	["No","Yes"]	["NOMBOAT"]	
EUPATH_0000171	Car or truck	string	Assets	Household								2	["No","Yes"]	["CAR"]	
EUPATH_0000179	Boat with a motor	string	Assets	Household								2	["No","Yes"]	["MBOAT"]	
EUPATH_0000186	Watch	string	Assets	Household								2	["No","Yes"]	["WATCH"]	
EUPATH_0000201	Sleeping places count	integer	Dwelling characteristics	Household	How many sleeping spaces (mats, mattresses, beds are available in your household? (scalar measurement)	1	18	3.25377643504532	3	4	2	12		["hhspaces"]	
EUPATH_0000302	Dwelling facilities		Household	Household											
EUPATH_0000303	Dwelling characteristics		Household	Household											
EUPATH_0000304	Socioeconomic factors		Household	Household											
EUPATH_0000335	Human waste facilities	string	Waste disposal	Household	Nature of toilet							9	["Composting  toilet","Covered pit latrine no slab","Covered pit latrine w/slab","Flush toilet","No facility/bush/field","Uncovered pit latrine no slab","Uncovered pit latrine w/slab","Uses neighbours","Vip latrine"]	["tfaclty","otherfcy"]	
EUPATH_0000596	Waste disposal		Dwelling facilities	Household											
EUPATH_0000731	Household water		Household	Household											
EUPATH_0011683	Food security		Socioeconomic factors	Household											
EUPATH_0011932	Socioeconomic status		Socioeconomic factors	Household											
EUPATH_0021084	Electricity	string	Assets	Household								2	["No","Yes"]	["ELECTIRC"]	
GAZ_00000448	Geographic location		Community	Household											
OBI_0400065	Lighting source	string	Dwelling facilities	Household	Primary source of artificial lighting							7	["Candles","Electricity","Paraffin - hurricane lamp","Paraffin - pressure lamp","Paraffin - wick lamp","Solar","Torch/battery powered lamp"]	["senergy"]	
