Household_Id	Acres [EUPATH_0000026]	Air bricks [EUPATH_0000018]	Animal-drawn cart [EUPATH_0000166]	Bank account [EUPATH_0000167]	Bed [ENVO_00000501]	Bicycle [ENVO_01000614]	Boat with a motor [EUPATH_0000179]	Boat without a motor [EUPATH_0000170]	Car or truck [EUPATH_0000171]	Cassette player [ENVO_01000578]	Chair [ENVO_01000586]	Clock [ENVO_01000596]	Cooking fuel [EUPATH_0000023]	Country [ENVO_00000009]	Cupboard [ENVO_01000595]	Drinking water source [ENVO_00003064]	Dwelling type [ENVO_01000744]	Eaves [ENVO_01000825]	Electricity [EUPATH_0021084]	Floor material [EUPATH_0000006]	Food problems per week [EUPATH_0000029]	Household wealth index, categorical [EUPATH_0000143]	Household wealth index, numerical [EUPATH_0000014]	Human waste facilities [EUPATH_0000335]	Landline phone [ENVO_01000582]	Lighting source [OBI_0400065]	Meals per day [EUPATH_0000027]	Meat meals per week [EUPATH_0000028]	Mobile phone [ENVO_01000581]	Motorcycle or scooter [ENVO_01000615]	Persons living in house count [EUPATH_0000019]	Radio [ENVO_01000577]	Refrigerator [ENVO_01000583]	Roof material [EUPATH_0000003]	Sleeping places count [EUPATH_0000201]	Sleeping rooms in dwelling count [EUPATH_0000025]	Sofa [ENVO_01000588]	Sub-county in Uganda [EUPATH_0000054]	Table [ENVO_01000584]	Television [ENVO_01000579]	Wall material [EUPATH_0000009]	Watch [EUPATH_0000186]
h_132005501	1	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Modern	Closed	No	Earth or sand	Sometimes	Least poor	.7970764	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	3	4	Yes	No	5	Yes	No	Metal	3	2	No	Nagongera	Yes	No	Cement	No
h_206031501	0	No airbricks	No	No	No	No	No	No	No	No	No	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Open	No	Earth or sand	Always	Poorest	-.98236507	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	Yes	No	3	No	No	Metal	2	1	No	Walukuba	Yes	No	Mud	No
h_217001002	0	Screened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	Yes	["Charcoal"]	Uganda	Yes	Piped into yard/compound	Modern	Closed	Yes	Cement/concrete	Sometimes	Least poor	2.4792583	["Covered pit latrine w/slab"]	No	Electricity	2	1	Yes	No	5	Yes	No	Metal	3	1	No	Walukuba	Yes	No	Cement	No
h_421003602	1	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Modern	Closed	No	Earth or sand	Sometimes	Least poor	1.092326	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	3	3	Yes	No	7	Yes	No	Metal	5	3	No	Kihihi	Yes	No	Cement	No
h_114003702	4	No airbricks	No	No	Yes	No	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	No	Protected public well	Traditional	Closed	No	Earth and dung	Often	Middle	.64872402	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	3	No	No	4	Yes	No	Metal	2	1	No	Nagongera	Yes	No	Mud	Yes
h_425011801	0	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	River/stream	Traditional	Closed	No	Earth or sand	Seldom	Least poor	1.5654545	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	Yes	No	6	Yes	No	Metal	4	1	No	Kihihi	Yes	No	Mud	No
h_216000453	0	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Piped into yard/compound	Traditional	Open	No	Cement/concrete	Never	Middle	-.34277314	["Flush toilet"]	No	Paraffin - hurricane lamp	3	4	Yes	No	3	No	No	Metal	2	1	No	Walukuba	No	No	Cement	No
h_201030932	0	No airbricks	No	No	No	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Closed	No	Earth or sand	Sometimes	Poorest	-.6373648	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	Yes	No	3	Yes	No	Thatch	2	1	No	Walukuba	No	No	Mud	No
h_114001102	4	No airbricks	Yes	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Open public well	Traditional	Open	No	Earth or sand	Often	Poorest	-.80394208	["Composting  toilet"]	No	Paraffin - wick lamp	2	1	No	No	5	Yes	No	Thatch	3	1	No	Nagongera	Yes	No	Mud	No
h_143009503	2	No airbricks	No	No	No	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Open public well	Traditional	Open	No	Earth and dung	Never	Middle	.18410259	["Covered pit latrine no slab"]	No	Candles	2	5	Yes	No	4	Yes	No	Thatch	2	1	No	Nagongera	No	No	Mud	No
h_103003601	10	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Unprotected spring	Traditional	Closed	No	Earth and dung	Seldom	Middle	.7582317	["No facility/bush/field"]	No	Paraffin - wick lamp	2	3	Yes	No	5	Yes	No	Metal	2	1	No	Nagongera	Yes	No	Mud	No
h_114004701	3	Unscreened airbricks	Yes	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Open public well	Traditional	Closed	No	Earth or sand	Always	Poorest	-1.7204621	["Composting  toilet"]	No	Paraffin - wick lamp	2	0	No	No	5	Yes	No	Metal	2	2	No	Nagongera	No	No	Mud	No
h_363008301	0	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	Yes	Protected spring	Traditional	Closed	No	Earth or sand	Sometimes	Middle	-.053278767	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	No	No	7	Yes	No	Metal	4	2	No	Kihihi	Yes	No	Mud	No
h_122007301	1	No airbricks	No	No	No	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected public well	Traditional	Closed	No	Earth or sand	Often	Poorest	-2.1941347	["No facility/bush/field"]	No	Paraffin - wick lamp	2	1	Yes	No	6	No	No	Metal	3	2	No	Nagongera	No	No	Mud	No
h_445000802	0	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected spring	Modern	Closed	No	Cement/concrete	Seldom	Middle	.18574676	["Covered pit latrine no slab"]	No	Paraffin - hurricane lamp	3	1	No	No	3	Yes	No	Metal	2	1	No	Kihihi	Yes	No	Cement	No
h_214000603	0	Screened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	No	Cement/concrete	Sometimes	Middle	-.063235663	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	Yes	No	6	Yes	No	Metal	3	1	Yes	Walukuba	Yes	No	Cement	No
h_111008001	0	Unscreened airbricks	No	No	No	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Modern	Closed	No	Cement/concrete	Sometimes	Middle	-.11779948	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	No	No	5	Yes	No	Metal	4	1	No	Nagongera	Yes	No	Cement	No
h_210018202	1	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	No	Cement/concrete	Often	Least poor	2.0125716	["Flush toilet"]	No	Paraffin - pressure lamp	2	3	Yes	No	4	Yes	No	Tiles	3	2	No	Walukuba	Yes	No	Cement	Yes
h_211003002	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Public tap	Traditional	Open	No	Cement/concrete	Often	Poorest	-2.7606716	["Uncovered pit latrine w/slab"]	No	Paraffin - hurricane lamp	2	2	No	No	6	No	No	Metal	4	2	No	Walukuba	No	No	Cement	No
h_117010602	1	No airbricks	No	No	No	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected spring	Traditional	Open	No	Earth and dung	Sometimes	Middle	-.50869238	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	No	No	6	Yes	No	Thatch	3	1	No	Nagongera	Yes	No	Mud	No
h_205021201	0	No airbricks	No	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	No	Earth or sand	Never	Least poor	1.1006227	["Covered pit latrine no slab"]	No	Paraffin - hurricane lamp	3	3	Yes	No	5	Yes	No	Metal	2	1	No	Walukuba	Yes	No	Wood	No
h_444002801	1	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected public well	Traditional	Closed	No	Earth and dung	Seldom	Least poor	1.2702048	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	Yes	No	7	Yes	No	Metal	4	2	No	Kihihi	Yes	No	Mud	No
h_205037901	0	No airbricks	No		Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Open	Yes	Cement/concrete	Sometimes	Middle	.45332471	["Covered pit latrine no slab"]	No	Electricity	3	7	Yes	No	6	Yes	No	Metal	3	1	No	Walukuba	Yes	Yes	Wood	No
h_357006701	3	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	River/stream	Traditional	Open	No	Earth or sand	Never	Middle	.35368481	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	Yes	No	7	Yes	No	Metal	4	3	No	Kihihi	No	No	Mud	No
h_118005003	2	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Unprotected spring	Modern	Closed	No	Earth and dung	Often	Middle	.1109338	["No facility/bush/field"]	No	Paraffin - wick lamp	2	2	Yes	No	8	Yes	No	Metal	5	2	No	Nagongera	Yes	No	Cement	No
h_446000202	0	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Closed	No	Earth or sand	Sometimes	Middle	.27915522	["Covered pit latrine no slab"]	No	Candles	3	0	Yes	No	2	Yes	No	Metal	1	1	No	Kihihi	Yes	No	Mud	No
h_130008901	1	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Open	No	Earth and dung	Seldom	Middle	.31277502	["No facility/bush/field"]	No	Paraffin - wick lamp	2	3	No	No	7	Yes	No	Thatch	3	1	No	Nagongera	Yes	No	Mud	No
h_412011201	1	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Pond/lake	Traditional	Closed	No	Earth or sand	Sometimes	Poorest	-.75969362	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	3	2	Yes	No	3	No	No	Metal	2	1	No	Kihihi	Yes	No	Mud	No
h_140005701	0	No airbricks	No	No	No	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected spring	Traditional	Open	No	Earth or sand	Always	Poorest	-2.2958398	["No facility/bush/field"]	No	Paraffin - wick lamp	2	0	No	No	4	No	No	Metal	2	1	No	Nagongera	No	No	Mud	No
h_141001901	6	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected public well	Modern	Closed	No	Earth and dung	Seldom	Middle	.7582317	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	Yes	No	8	Yes	No	Metal	4	2	No	Nagongera	Yes	No	Cement	No
h_201036222	0	No airbricks	No	No	No	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Open	No	Earth and dung	Sometimes	Poorest	-2.0199654	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	Yes	No	3	No	No	Metal	1	1	No	Walukuba	No	No	Mud	No
h_138000501	10	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected spring	Modern	Closed	No	Earth and dung	Never	Middle	.35991621	["Covered pit latrine no slab"]	No	Candles	3	2	No	No	7	Yes	No	Metal	7	4	No	Nagongera	Yes	No	Cement	No
h_205020229	4	No airbricks	No	No	Yes	No	No	No	No	Yes	No	No	["Charcoal"]	Uganda	Yes	Public tap	Traditional	Open	No	Earth and dung	Sometimes	Middle	.7522999	["Covered pit latrine no slab"]	No	Paraffin - pressure lamp	3	7	Yes	No	7	Yes	No	Metal	6	2	No	Walukuba	No	No	Metal	Yes
h_323016601	3	No airbricks	No	No	Yes	No	No	No	No	No	No	No	["Firewood"]	Uganda	No	Public tap	Traditional	Open	No	Earth and dung	Sometimes	Poorest	-2.0745292	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	No	No	4	No	No	Thatch	2	1	No	Kihihi	No	No	Mud	No
h_205011301	0	No airbricks	Yes	Yes	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Traditional	Open	Yes	Parquet or polished wood	Seldom	Least poor	2.3161178	["Covered pit latrine no slab"]	No	Electricity	3	4	Yes	Yes	9	Yes	No	Metal	4	2	Yes	Walukuba	Yes	Yes	Wood	No
h_214000801	0	Screened airbricks	No	Yes	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	No	Cement/concrete	Seldom	Least poor	1.1006227	["Covered pit latrine no slab"]	No	Paraffin - hurricane lamp	3	2	Yes	No	7	Yes	No	Metal	4	2	No	Walukuba	Yes	Yes	Cement	Yes
h_355009301	1	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Closed	No	Earth or sand	Often	Poorest	-.9338631	["No facility/bush/field"]	No	Paraffin - wick lamp	2	0	Yes	No	6	No	No	Metal	3	2	No	Kihihi	Yes	No	Mud	No
h_125006301	1	No airbricks	No	No	No	Yes	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	Yes	Protected public well	Traditional	Open	No	Earth and dung	Seldom	Least poor	1.9846414	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	No	No	10	No	No	Thatch	11	4	Yes	Nagongera	Yes	No	Mud	Yes
h_119000901	3	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Unprotected spring	Modern	Closed	No	Earth and dung	Sometimes	Middle	-.51033652	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	3	3	Yes	No	7	Yes	No	Metal	4	2	No	Nagongera	No	No	Cement	No
h_201007601	0	Unscreened airbricks	No	No	Yes	No	No	No	No	No	No	No	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	No	Cement/concrete	Never	Middle	-.51071119	["Covered pit latrine w/slab"]	No	Paraffin - wick lamp	3	7	No	No	3	No	No	Metal	2	1	No	Walukuba	Yes	No	Cement	No
h_145001701	3	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Open	No	Earth and dung	Always	Middle	.17580606	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	Yes	No	6	Yes	No	Thatch	3	2	No	Nagongera	No	No	Mud	No
h_138002001	12	Screened airbricks	No	Yes	Yes	Yes	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	Yes	Protected public well	Modern	Closed	No	Cement/concrete	Never	Least poor	3.5959752	["Covered pit latrine w/slab"]	No	Paraffin - hurricane lamp	3	4	Yes	Yes	8	Yes	No	Metal	11	6	Yes	Nagongera	Yes	No	Cement	No
h_125002201	3	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected public well	Traditional	Closed	No	Earth and dung	Sometimes	Poorest	-2.4654219	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	No	No	6	No	No	Metal	2	1	No	Nagongera	No	No	Mud	No
h_114004201	5	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected public well	Traditional	Closed	No	Earth and dung	Never	Middle	.22999519	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	7	Yes	Yes	8	No	No	Metal	3	2	No	Nagongera	Yes	No	Mud	No
h_143006701	6	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	No	Borehole	Traditional	Open	No	Earth and dung	Sometimes	Least poor	.81666213	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	3	3	Yes	No	8	Yes	No	Thatch	3	3	No	Nagongera	No	No	Mud	No
h_318002001	2	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Public tap	Traditional	Closed	No	Earth or sand	Always	Poorest	-.59147221	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	1	0	Yes	No	8	No	No	Metal	4	3	No	Kihihi	Yes	No	Mud	No
h_132006402	2	No airbricks	No	No	No	No	No	No	No	No	No	No	["Firewood"]	Uganda	No	Borehole	Traditional	Closed	No	Earth or sand	Always	Poorest	-2.4654219	["No facility/bush/field"]	No	Paraffin - wick lamp	2	2	No	No	2	No	No	Metal	2	2	No	Nagongera	No	No	Mud	No
h_125005001	4	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected public well	Traditional	Closed	No	Earth and dung	Seldom	Middle	.31277502	["No facility/bush/field"]	No	Paraffin - wick lamp	3	7	No	No	4	Yes	No	Metal	3	2	No	Nagongera	Yes	No	Mud	No
h_118009801	3	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Unprotected spring	Traditional	Closed	No	Earth and dung	Always	Middle	.056369986	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	No	No	8	Yes	No	Metal	5	2	No	Nagongera	Yes	No	Mud	No
h_205010721	16	No airbricks	No	Yes	Yes	No	No	Yes	No	No	Yes	No	["Firewood"]	Uganda	Yes	Public tap	Traditional	Open	No	Earth and dung	Always	Middle	-.23776361	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	3	3	No	No	17	No	No	Metal	5	3	No	Walukuba	Yes	No	Mud	No
h_201030404	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	No	Cement/concrete	Sometimes	Middle	-.11668337	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	3	1	No	No	6	No	No	Tiles	3	1	No	Walukuba	Yes	Yes	Cement	Yes
h_209005401	1	Screened airbricks	No	Yes	Yes	No	No	No	No	No	No	No	["Charcoal"]	Uganda	No	Piped into yard/compound	Modern	Closed	No	Cement/concrete	Seldom	Least poor	1.1006227	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	4	2	Yes	No	4	Yes	No	Tiles	3	1	No	Walukuba	Yes	No	Cement	Yes
h_207003304	0	No airbricks	No	Yes	Yes	No	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	Yes	Public tap	Traditional	Open	Yes	Cement/concrete	Never	Least poor	2.9569738	["Flush toilet"]	No	Electricity	3	4	Yes	No	5	Yes	No	Metal	3	2	Yes	Walukuba	Yes	Yes	Cement	No
h_306008101	1	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	Yes	River/stream	Traditional	Open	No	Earth or sand	Never	Least poor	.80784982	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	3	2	Yes	Yes	5	No	No	Thatch	2	2	No	Kihihi	Yes	No	Mud	No
h_209009901	0	Unscreened airbricks	No	Yes	Yes	No	No	No	No	Yes	Yes	Yes	["Charcoal"]	Uganda	Yes	Piped into yard/compound	Modern	Closed	Yes	Cement/concrete	Never	Least poor	2.9569738	["Covered pit latrine w/slab"]	No	Electricity	4	2	Yes	Yes	5	Yes	No	Tiles	3	3	Yes	Walukuba	Yes	Yes	Cement	No
h_206004602	0	No airbricks	No	No	No	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Public tap	Traditional	Open	No	Earth or sand	Sometimes	Poorest	-2.0199654	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	3	Yes	No	3	No	No	Metal	2	1	No	Walukuba	No	No	Mud	No
h_307004501	0	No airbricks	No	Yes	Yes	No	No	No	No	No	No	No	["Firewood"]	Uganda	No	Protected public well	Traditional	Open	No	Earth or sand	Never	Poorest	-2.2875433	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	3	1	No	No	5	No	No	Thatch	2	1	No	Kihihi	No	No	Mud	No
h_324003501	5	No airbricks	No	Yes	Yes	No	No	No	No	Yes	Yes	No	["Firewood"]	Uganda	No	Protected spring	Traditional	Closed	No	Earth or sand	Seldom	Least poor	.92645317	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	Yes	No	7	Yes	No	Metal	3	2	No	Kihihi	Yes	No	Mud	No
h_425007801	1	Unscreened airbricks	No	No	Yes	Yes	No	No	No	Yes	Yes	Yes	["Firewood"]	Uganda	No	Protected public well	Modern	Closed	Yes	Earth or sand	Seldom	Least poor	2.6757298	["Covered pit latrine no slab"]	No	Electricity	3	2	Yes	No	6	Yes	No	Metal	4	3	Yes	Kihihi	Yes	No	Cement	No
h_119008702	3	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Unprotected spring	Traditional	Closed	No	Earth and dung	Sometimes	Poorest	-.9338631	["No facility/bush/field"]	No	Paraffin - wick lamp	2	1	Yes	No	8	No	No	Metal	3	2	No	Nagongera	Yes	No	Mud	No
h_218006001	1	Unscreened airbricks	No	Yes	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	No	Cement/concrete	Seldom	Least poor	1.1502407	["Vip latrine"]	No	Paraffin - hurricane lamp	3	3	Yes	No	3	No	No	Metal	2	1	No	Walukuba	Yes	No	Cement	No
h_216001914	0	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	Yes	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	No	Cement/concrete	Sometimes	Least poor	1.215261	["Covered pit latrine no slab"]	No	Paraffin - hurricane lamp	2	1	Yes	No	6	Yes	No	Metal	4	2	Yes	Walukuba	Yes	No	Cement	No
h_340001201	2	Unscreened airbricks	No	Yes	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	Yes	Borehole	Modern	Closed	No	Cement/concrete	Never	Least poor	2.1904504	["Covered pit latrine no slab"]	No	Paraffin - hurricane lamp	2	0	Yes	No	6	Yes	No	Metal	3	3	Yes	Kihihi	Yes	No	Cement	No
h_201035878	0	No airbricks	No	No	Yes	Yes	No	No	No	No	No	No	["Firewood"]	Uganda	No	Public tap	Traditional	Open	No	Earth and dung	Sometimes	Poorest	-.684506	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	Yes	No	4	Yes	No	Metal	2	1	No	Walukuba	No	No	Mud	No
h_210009801	0	Unscreened airbricks	No	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	Yes	Cement/concrete	Never	Least poor	3.3007255	["Flush toilet"]	No	Electricity	4	3	Yes	No	9	Yes	Yes	Tiles	5	2	Yes	Walukuba	Yes	Yes	Cement	Yes
h_201030015	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Open	No	Earth or sand	Sometimes	Poorest	-.59147221	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	Yes	No	4	No	No	Tiles	2	1	No	Walukuba	Yes	No	Cement	No
h_303001503	1	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Public tap	Traditional	Closed	No	Earth or sand	Seldom	Poorest	-1.4272312	["Covered pit latrine no slab"]	No	Candles	3	2	No	No	4	No	No	Metal	3	1	No	Kihihi	No	No	Mud	No
h_429000901	1	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Pond/lake	Traditional	Open	No	Earth or sand	Always	Poorest	-1.3780712	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	No	No	6	Yes	No	Thatch	5	3	No	Kihihi	No	No	Mud	No
h_114006801	3	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Open	No	Earth and dung	Seldom	Poorest	-1.1968538	["Uncovered pit latrine no slab"]	No	Paraffin - hurricane lamp	2	2	No	No	9	No	No	Metal	4	3	No	Nagongera	Yes	No	Mud	No
h_137004001	8	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected spring	Traditional	Open	No	Earth or sand	Never	Middle	.35991621	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	3	3	No	No	9	Yes	No	Metal	6	4	No	Nagongera	Yes	No	Mud	No
h_318023901	1	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	Yes	Public tap	Traditional	Open	No	Earth or sand	Often	Poorest	-2.0145957	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	No	No	6	No	No	Thatch	2	2	No	Kihihi	No	No	Mud	No
h_214000619	0	Screened airbricks	No	No	Yes	No	No	No	No	Yes	Yes	Yes	["Charcoal"]	Uganda	Yes	Piped into yard/compound	Modern	Closed	No	Cement/concrete	Seldom	Least poor	2.9569738	["Covered pit latrine w/slab"]	No	Paraffin - hurricane lamp	3	2	Yes	No	3	Yes	No	Metal	1	1	No	Walukuba	Yes	No	Cement	No
h_205021901	0	No airbricks	No	No	Yes	No	No	No	No	Yes	Yes	No	["Doesn't cook at home","Eats in restaurants"]	Uganda	Yes	Public tap	Traditional	Open	Yes	Cement/concrete	Sometimes	Least poor	1.6688199	["Covered pit latrine w/slab"]	No	Electricity	3	2	Yes	No	2	Yes	No	Metal	2	1	Yes	Walukuba	Yes	Yes	Wood	No
h_206024302	0	No airbricks	No	No	No	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Public tap	Traditional	Open	No	Earth or sand	Sometimes	Poorest	-1.2776148	["Uncovered pit latrine w/slab"]	No	Paraffin - wick lamp	2	0	Yes	No	7	No	No	Metal	3	1	No	Walukuba	Yes	No	Mud	No
h_114004501	4	No airbricks	No	No	No	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Open public well	Traditional	Open	No	Earth or sand	Never	Poorest	-1.3726674	["No facility/bush/field"]	No	Paraffin - wick lamp	2	2	Yes	No	5	No	No	Thatch	2	1	No	Nagongera	No	No	Mud	No
h_128001701	2	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Open public well	Traditional	Open	No	Earth and dung	Sometimes	Poorest	-2.7606716	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	4	No	No	5	No	No	Thatch	4	1	No	Nagongera	No	No	Mud	No
h_141005201	3	Unscreened airbricks	No	Yes	Yes	Yes	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	No	Borehole	Modern	Closed	No	Cement/concrete	Never	Least poor	1.6943375	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	Yes	No	5	Yes	No	Metal	4	3	Yes	Nagongera	Yes	No	Cement	Yes
h_207009501	0	Screened airbricks	No	Yes	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	Yes	Pipe into dwelling	Modern	Closed	Yes	Cement/concrete	Sometimes	Least poor	.7981925	["Flush toilet"]	No	Electricity	3	7	Yes	No	9	No	No	Tiles	5	3	Yes	Walukuba	Yes	Yes	Cement	No
